,ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
392530,-0.6597212,0.33419567,0.31534544,-1.315401,-1.2224325,-0.47843745,1.0076219000000002,-0.5100515999999999,-1.4595491000000003,-0.29531276,-0.7464801999999999,-0.849698,49
392531,-0.64556134,0.3343046,0.32564685,-1.2345623,-1.1833829,-0.49355623,1.0084335,-0.5282996,-1.4589456,-0.2926506,-0.7482058000000001,-0.84995866,49
392532,-0.6354155,0.3343826,0.3741997,-0.87911665,-1.0081972,-0.5046123,1.0089891,-0.5416297,-1.4599954,-0.29088790000000003,-0.7469571999999999,-0.8499617,49
392533,-0.62814635,0.33443832,0.45148093,-0.31578809999999996,-0.72906744,-0.5118364000000001,1.0097847,-0.5504014,-1.4598082000000001,-0.290354,-0.74664634,-0.8499273,49
392534,-0.62395275,0.33444482,0.5792967,0.30298200000000003,-0.37549309999999997,-0.5156904999999999,0.9292385,-0.58325654,-1.4588127,-0.2920486,-0.74492085,-0.8499026,49
392535,-0.6295776999999999,0.33451664,0.6223699,0.6970601,0.031229995,-0.5216843,0.62093407,-0.5667996999999999,-1.4634163,-0.29429853,-0.74749947,-0.84995836,49
392536,-0.6199015999999999,0.33497137,0.6932651,0.96056855,0.39358243,-0.53328544,0.32643679999999997,-0.55993575,-1.4568309,-0.2952482,-0.7443732,-0.8497413,49
392537,-0.61296874,0.33529717,0.74966073,1.1472399,0.64948237,-0.54448664,0.11682706,-0.5577488,-1.4607816999999998,-0.29683590000000004,-0.72852004,-0.8497693000000001,49
392538,-0.6080002,0.33553058,0.78747666,1.2822627,0.8295564000000001,-0.5514492,-0.030115006,-0.55527776,-1.4537671,-0.29762,-0.7154549,-0.8488346999999999,49
392539,-0.60291827,0.33556342,0.81056273,1.3810725000000001,0.9547024,-0.5545726,-0.13095501,-0.55181104,-1.4533902,-0.29672053,-0.7229473000000001,-0.84636545,49
392540,-0.5982609,0.33508304,0.8215518,1.454539,1.0387537,-0.5542279,-0.19680952,-0.5470313,-1.4521008999999998,-0.29604194,-0.73315054,-0.84580815,49
392541,-0.59492344,0.33507466,0.8228416,1.5100421,1.093636,-0.55076367,-0.23760566,-0.5406915,-1.450036,-0.29599547,-0.73756546,-0.8466940999999999,49
392542,-0.595071,0.33516958,0.8147798,1.5528918999999999,1.1286361999999999,-0.5444967,-0.26080210000000004,-0.5326772,-1.451333,-0.29746133,-0.7407286999999999,-0.84699833,49
392543,-0.59720695,0.335036,0.8013165,1.5872613000000002,1.1515267,-0.5363294,-0.2733679,-0.5235257999999999,-1.451359,-0.29849544,-0.7377952,-0.8474367,49
392544,-0.6038146,0.33487305,0.7845435000000001,1.6137747,1.1713444,-0.5268967,-0.28392434,-0.5134598,-1.4503271999999998,-0.30495685,-0.7194243,-0.84661245,49
392545,-0.6044871,0.33465552,0.77514637,1.6321255,1.1868663000000002,-0.52069104,-0.2928281,-0.5067654,-1.4507358,-0.31133834,-0.71094084,-0.8459117,49
392546,-0.60395414,0.3342644,0.77632904,1.6425886000000003,1.1928039,-0.5204954,-0.29672350000000003,-0.50613755,-1.4483233999999998,-0.30686957,-0.70327765,-0.8452626,49
392547,-0.6172788,0.3347569,0.7877683000000001,1.6453354,1.1915668,-0.5262581999999999,-0.29824784,-0.51130325,-1.4468404,-0.3047734,-0.6931319,-0.84560543,49
392548,-0.62530375,0.33453873,0.8101638000000001,1.6408367,1.1854768,-0.5377681,-0.29911298,-0.5220759,-1.4456790000000002,-0.30303273,-0.6861833,-0.8458511000000001,49
392549,-0.6310531999999999,0.33438224,0.8223004999999999,1.6402146,1.1770691999999998,-0.5444564000000001,-0.29473907,-0.5283893,-1.4601163000000001,-0.30602443,-0.67839897,-0.8440808000000001,49
392550,-0.64634126,0.33460626,0.8118791999999999,1.647736,1.1700151,-0.5396926999999999,-0.28506220000000004,-0.52391917,-1.4648596999999999,-0.31106332,-0.6739437,-0.8418209999999999,49
